Country Name,percentage of services,GDP
Norway,56.83547461,4.34167E+11
Nepal,51.02433461,29040398982
Nauru,,125628504.3
New Zealand,,2.04924E+11
OECD members,69.76538884,5.26762E+13
Oman,49.06520193,79276723017
Other small states,53.80640211,4.52306E+11
Pakistan,53.17770785,3.14588E+11
Panama,64.6497163,65055100000
Peru,53.92833316,2.22045E+11
Philippines,59.90274228,3.3091E+11
Palau,77.98742534,283994900
Papua New Guinea,41.50211836,23497607690
Poland,56.10575593,5.85664E+11
Pre-demographic dividend,47.98103393,1.32157E+12
Puerto Rico,48.51712515,1.01131E+11
"Korea, Dem. People’s Rep.",,
Portugal,65.36235193,2.40675E+11
Paraguay,47.87709344,40496953779
West Bank and Gaza,,14615900000
Pacific island small states,59.23966037,10381220343
Post-demographic dividend,70.59752705,5.00903E+13
French Polynesia,,
Qatar,47.09538857,1.91362E+11
Romania,57.32322705,2.39553E+11
Russian Federation,56.26454598,1.65755E+12
Rwanda,46.36041705,9508715596
South Asia,49.45323408,3.45242E+12
Saudi Arabia,51.60259811,7.86522E+11
Sudan,46.79085377,40851536134
Senegal,50.96855147,24129599552
Singapore,70.20533677,3.64157E+11
Solomon Islands,,1395608472
Sierra Leone,32.38231794,4085114794
El Salvador,60.66672015,26057000000
San Marino,,
Somalia,,4720727278
Serbia,50.89473294,50597289147
Sub-Saharan Africa (excluding high income),51.83483406,1.70836E+12
South Sudan,,
Sub-Saharan Africa,51.84930278,1.70995E+12
Small states,54.90045116,5.36147E+11
Sao Tome and Principe,70.86525348,422296762.3
Suriname,48.65958743,3590753769
Slovak Republic,58.31006316,1.05905E+11
Slovenia,56.61281548,54007972106
Sweden,65.08757974,5.56086E+11
Eswatini,53.54080159,4710618472
Sint Maarten (Dutch part),81.1814625,
Seychelles,69.37075115,1590180446
Syrian Arab Republic,,
Turks and Caicos Islands,75.56236308,1022312010
Chad,33.50713083,11273115239
East Asia & Pacific (IDA & IBRD countries),51.38282577,1.62533E+13
Europe & Central Asia (IDA & IBRD countries),54.77684461,4.05733E+12
Togo,27.82462439,5358722983
Thailand,56.39841159,5.04993E+11
Tajikistan,41.44410892,7522947810
Turkmenistan,,40761142857
Latin America & the Caribbean (IDA & IBRD countries),60.48105146,5.55976E+12
Timor-Leste,44.10036565,2581000000
Middle East & North Africa (IDA & IBRD countries),51.72815718,
Tonga,,450353313.9
South Asia (IDA & IBRD),49.45323408,3.45242E+12
Sub-Saharan Africa (IDA & IBRD countries),51.84930278,1.70995E+12
Trinidad and Tobago,58.09293415,23808146748
Tunisia,59.23508557,39871132268
Turkey,53.33630313,7.7135E+11
Tuvalu,,42587778.47
